City,Subject,Question,Question rank 1-3,Translation (if needed)
New York,Air Pollution,What can you do to help cut down air pollution caused by cars and trucks?,,
New York,Drinking Water,Which pipe cannot be used for drinking water?,,
New York,Drinking Water,How can I remove calcium from water?,,
New York,Drinking Water,What is the water like in Staten Island?,,
New York,Oceans,How many oceans are there?,,
New York,Oceans,How are people saving the ocean?,,
New York,Oceans,How does the ocean maintain salt?,,
New York,Natural Environment,How does deforestation affect the environment?,,
New York,Natural Environment,What are the problems resulting from industrialization?,,
New York,Natural Environment,What negative effects has tourism had on cultures and the natural environment?,,
New York,Health,How to eat health on a budget?,,
New York,Health,What does it mean to be healthy?,,
New York,Health,Is Stevia healthy?,,
New York,Wildlife,How do you stop wild animals from going through the trash?,,
New York,Wildlife,What are easy ways to protect the environment?,,
New York,Wildlife,How do oil spills harm wildlife?,,
New York,Recycling,How to recycling in New York City?,,
New York,Recycling,How much money can you get for recycling water bottles?,,
New York,Recycling,How does recycling help the environment?,,
